year,global_avg_temp,london_avg_temp,dublin_avg_temp
1750,8.72,10.25,9.32
1751,7.98,9.99,9.12
1752,5.78,6.54,6.28
1753,8.39,9.42,8.63
1754,8.47,9.2,8.59
1755,8.36,8.95,8.29
1756,8.85,9.42,8.75
1757,9.02,9.34,8.72
1758,6.74,8.85,7.83
1759,7.99,9.8,8.82
1760,7.19,9.26,8.14
1761,8.77,9.69,8.95
1762,8.61,8.99,8.32
1763,7.5,8.75,7.95
1764,8.4,9.14,8.26
1765,8.25,8.95,8.08
1766,8.41,9.07,8.24
1767,8.22,8.98,8.38
1768,6.78,9.12,8.25
1769,7.69,9.04,8.33
1770,7.69,9.03,8.08
1771,7.85,8.78,8.14
1772,8.19,9.36,8.22
1773,8.22,9.33,8.26
1774,8.77,9.1,8.22
1775,9.18,10.1,9.06
1776,8.3,9.21,8.3
1777,8.26,9.25,8.49
1778,8.54,9.8,8.9
1779,8.98,10.76,9.77
1780,9.43,9.67,9.02
1781,8.1,10.41,9.51
1782,7.9,8.44,7.46
1783,7.68,9.97,8.65
1784,7.86,8.29,7.67
1785,7.36,8.54,8.11
1786,8.26,8.35,7.89
1787,8.03,9.53,8.84
1788,8.45,9.39,8.84
1789,8.33,9.12,8.74
1790,7.98,9.67,8.99
1791,8.23,9.59,8.84
1792,8.09,9.56,8.82
1793,8.23,9.59,8.76
1794,8.53,10,9.13
1795,8.35,9.19,8.41
1796,8.27,9.5,8.68
1797,8.51,9.62,8.66
1798,8.67,9.83,9.14
1799,8.51,7.94,7.56
1800,8.48,9.32,8.47
1801,8.59,9.68,8.88
1802,8.58,9.31,8.65
1803,8.5,8.79,8.47
1804,8.84,9.37,8.8
1805,8.56,8.56,8.52
1806,8.43,9.87,8.73
1807,8.28,9.03,7.97
1808,7.63,8.91,8.17
1809,7.08,8.99,8.02
1810,6.92,8.97,7.9
1811,6.86,10.1,8.64
1812,7.05,8.58,7.72
1813,7.74,9.13,8.33
1814,7.59,7.93,7.45
1815,7.24,8.99,8.09
1816,6.94,7.98,7.2
1817,6.98,8.95,8.01
1818,7.83,9.88,8.88
1819,7.37,9.58,8.41
1820,7.62,8.61,8.12
1821,8.09,9.63,8.97
1822,8.19,10.36,9.14
1823,7.72,8.8,7.96
1824,8.55,9.65,8.74
1825,8.39,9.98,9.11
1826,8.36,10.12,9.24
1827,8.81,9.37,8.76
1828,8.17,10.1,9.37
1829,7.94,7.95,7.76
1830,8.52,8.78,8.24
1831,7.64,10.01,9.03
1832,7.45,9.24,8.58
1833,8.01,9.4,8.5
1834,8.15,10.59,9.41
1835,7.39,9.48,8.64
1836,7.7,9.04,7.94
1837,7.38,8.85,8.21
1838,7.51,8.05,7.52
1839,7.63,8.89,8.03
1840,7.8,8.68,8.12
1841,7.69,9.12,8.19
1842,8.02,9.43,8.76
1843,8.17,9.4,8.58
1844,7.65,8.85,8.34
1845,7.85,8.46,8.03
1846,8.55,10.48,9.47
1847,8.09,9.24,8.71
1848,7.98,9.52,8.42
1849,7.98,9.42,8.53
1850,7.9,9.06,8.6
1851,8.18,9.17,8.62
1852,8.1,9.96,9.07
1853,8.04,8.44,8.07
1854,8.21,9.3,8.84
1855,8.11,8.03,7.67
1856,8,9.17,8.42
1857,7.76,10.21,9.34
1858,8.1,9.2,8.65
1859,8.25,9.97,8.74
1860,7.96,8.17,7.54
1861,7.85,9.42,8.7
1862,7.56,9.56,8.3
1863,8.11,9.9,8.91
1864,7.98,8.74,8.34
1865,8.18,9.82,9.07
1866,8.29,9.69,8.57
1867,8.44,9.06,8.45
1868,8.25,10.5,9.35
1869,8.43,9.46,8.86
1870,8.2,8.94,8.5
1871,8.12,8.97,8.73
1872,8.19,10.07,8.79
1873,8.35,9.26,8.42
1874,8.43,9.37,8.75
1875,7.86,9.43,8.86
1876,8.08,9.75,8.77
1877,8.54,9.43,8.52
1878,8.83,9.47,8.75
1879,8.17,7.62,7.17
1880,8.12,9.35,8.52
1881,8.27,8.71,7.88
1882,8.13,9.43,8.63
1883,7.98,9.21,8.23
1884,7.77,9.86,8.84
1885,7.92,8.68,7.88
1886,7.95,8.8,7.97
1887,7.91,8.39,8.16
1888,8.09,8.31,7.96
1889,8.32,8.91,8.56
1890,7.97,8.86,8.55
1891,8.02,8.65,8.14
1892,8.07,8.35,7.6
1893,8.06,10.05,9.23
1894,8.16,9.42,8.54
1895,8.15,8.91,7.94
1896,8.21,9.41,8.78
1897,8.29,9.5,8.81
1898,8.18,10.08,9.36
1899,8.4,9.85,9.13
1900,8.5,9.73,8.64
1901,8.54,9.2,8.45
1902,8.3,8.95,8.39
1903,8.22,9.45,8.44
1904,8.09,9.18,8.45
1905,8.23,9.25,8.66
1906,8.38,9.62,8.62
1907,7.95,9.03,8.28
1908,8.19,9.31,8.95
1909,8.18,8.7,8.18
1910,8.22,9.39,8.48
1911,8.18,10.22,9.03
1912,8.17,9.57,8.52
1913,8.3,9.89,8.84
1914,8.59,9.98,9.05
1915,8.59,9.07,8.19
1916,8.23,9.28,8.66
1917,8.02,8.65,8.08
1918,8.13,9.6,8.85
1919,8.38,8.48,8.04
1920,8.36,9.67,8.94
1921,8.57,10.6,9.8
1922,8.41,8.81,8.25
1923,8.42,9.17,8.51
1924,8.51,9.34,8.69
1925,8.53,9.31,8.45
1926,8.73,9.83,9.08
1927,8.52,9.25,8.64
1928,8.63,9.69,8.83
1929,8.24,9.09,8.65
1930,8.63,9.7,8.59
1931,8.72,9.12,8.71
1932,8.71,9.57,8.99
1933,8.34,9.96,9.36
1934,8.63,10.11,9.36
1935,8.52,9.9,8.95
1936,8.55,9.43,8.83
1937,8.7,9.69,8.78
1938,8.86,10.18,9.35
1939,8.76,9.77,9.13
1940,8.76,9.06,8.87
1941,8.77,9.09,8.55
1942,8.73,9.1,8.71
1943,8.76,10.19,9.33
1944,8.85,9.62,9.07
1945,8.58,10.39,9.75
1946,8.68,9.58,8.82
1947,8.8,9.75,8.8
1948,8.75,10.16,9.34
1949,8.59,10.63,9.85
1950,8.37,9.75,8.7
1951,8.63,9.52,8.48
1952,8.64,9.35,8.56
1953,8.87,9.95,9.39
1954,8.56,9.35,8.67
1955,8.63,9.39,8.85
1956,8.28,8.87,8.66
1957,8.73,10.26,9.33
1958,8.77,9.66,8.91
1959,8.73,10.63,9.72
1960,8.58,9.88,8.98
1961,8.8,10.2,9.08
1962,8.75,8.65,8.24
1963,8.86,8.48,8.04
1964,8.41,9.53,8.99
1965,8.53,9.03,8.31
1966,8.6,9.59,8.88
1967,8.7,9.81,8.83
1968,8.52,9.48,8.85
1969,8.6,9.47,8.61
1970,8.7,9.69,8.94
1971,8.6,9.89,9.4
1972,8.5,9.41,8.56
1973,8.95,9.75,9.06
1974,8.47,9.7,8.76
1975,8.74,9.99,9.37
1976,8.35,10.28,9.16
1977,8.85,9.69,8.84
1978,8.69,9.41,8.89
1979,8.73,9.06,8.12
1980,8.98,9.54,8.85
1981,9.17,9.38,8.78
1982,8.64,10.07,9.08
1983,9.03,10.12,9.37
1984,8.69,9.75,9.07
1985,8.66,9,8.34
1986,8.83,8.94,8.03
1987,8.99,9.22,8.66
1988,9.2,9.82,9.16
1989,8.92,10.76,9.57
1990,9.23,10.94,9.59
1991,9.18,9.67,9.07
1992,8.84,10.15,9.07
1993,8.87,9.69,8.85
1994,9.04,10.48,9.13
1995,9.35,10.55,9.75
1996,9.04,9.27,8.85
1997,9.2,10.64,9.95
1998,9.52,10.4,9.71
1999,9.29,10.86,9.75
2000,9.2,10.52,9.43
2001,9.41,10.18,9.27
2002,9.57,10.91,9.75
2003,9.53,10.81,9.8
2004,9.32,10.77,9.77
2005,9.7,10.63,9.91
2006,9.53,11.1,10
2007,9.73,10.83,10.11
2008,9.43,10.38,9.42
2009,9.51,10.52,9.47
2010,9.7,9.38,8.38
2011,9.52,11.19,9.76
2012,9.51,10,9.28
2013,9.61,9.91,9.28
